-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  17.3627   Longitude 78.4722 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 494.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
TS                  MERRA-2 Earth Skin Temperature (C) 
WD10M               MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS2M                MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2000,0.0,59.74,0.56,0.61,48.35,249.02,82.07,403.28,58.23,27.21,4.94,0.75,934.76
PRECTOTCORR_SUM,2001,7.52,0.0,39.19,24.67,3.19,187.8,60.58,220.88,127.66,114.95,2.58,0.62,789.64
PRECTOTCORR_SUM,2002,15.18,0.95,11.31,2.05,66.4,156.88,76.18,216.13,36.16,105.23,2.58,0.98,690.03
PRECTOTCORR_SUM,2003,0.12,6.1,10.97,23.19,1.35,73.92,258.93,155.26,66.12,148.61,0.87,4.99,750.43
PRECTOTCORR_SUM,2004,34.04,5.47,21.13,54.33,43.67,35.63,227.64,64.69,118.55,74.05,1.34,0.0,680.54
PRECTOTCORR_SUM,2005,39.93,1.48,14.05,24.06,30.02,103.73,356.07,133.86,222.12,216.27,1.29,1.78,1144.66
PRECTOTCORR_SUM,2006,0.0,0.0,41.62,59.24,89.74,94.14,181.3,204.64,224.31,32.34,56.7,0.06,984.09
PRECTOTCORR_SUM,2007,0.0,0.25,0.0,20.49,18.05,167.17,95.25,221.19,254.65,33.08,3.87,0.14,814.14
PRECTOTCORR_SUM,2008,0.29,48.98,153.28,11.5,16.37,55.97,112.95,419.66,186.52,48.54,46.81,0.21,1101.08
PRECTOTCORR_SUM,2009,0.0,0.0,4.12,19.15,32.12,81.24,66.54,310.18,135.11,59.07,40.43,2.99,750.95
PRECTOTCORR_SUM,2010,7.23,6.38,0.06,3.01,22.86,128.34,317.53,224.13,196.74,67.14,42.32,12.74,1028.48
PRECTOTCORR_SUM,2011,0.05,6.0,2.0,4.83,10.23,48.38,209.68,201.79,59.28,48.54,3.96,0.6,595.34
PRECTOTCORR_SUM,2012,2.57,0.0,0.31,17.03,7.15,105.01,198.88,135.73,118.94,67.42,34.17,0.0,687.21
PRECTOTCORR_SUM,2013,2.25,22.09,0.22,48.8,15.47,171.75,234.08,142.77,153.51,205.59,11.63,0.0,1008.16
PRECTOTCORR_SUM,2014,0.0,3.82,51.17,12.71,47.44,44.82,140.71,207.02,83.84,37.56,6.22,2.74,638.05
PRECTOTCORR_SUM,2015,4.92,2.1,19.06,67.1,7.23,92.41,45.23,80.56,108.98,9.1,3.78,0.28,440.75
PRECTOTCORR_SUM,2016,1.78,0.82,0.23,4.5,68.66,131.46,147.58,80.96,261.24,43.15,0.03,0.83,741.24
PRECTOTCORR_SUM,2017,0.0,0.0,7.52,2.93,37.64,134.29,179.28,170.81,161.4,91.25,1.4,0.0,786.52
PRECTOTCORR_SUM,2018,0.0,0.05,0.49,34.16,27.6,113.02,100.26,144.29,88.3,22.82,0.25,19.88,551.12
PRECTOTCORR_SUM,2019,22.2,0.61,1.65,27.27,15.03,61.02,117.12,180.75,194.95,123.56,4.04,5.13,753.33
PRECTOTCORR_SUM,2020,12.94,3.73,16.67,21.58,44.21,175.26,249.75,291.65,214.92,181.48,13.23,0.0,1225.42
PRECTOTCORR_SUM,2021,1.13,1.89,0.0,19.64,34.52,166.5,302.82,173.87,237.5,92.91,25.16,0.07,1056.01
PRECTOTCORR_SUM,2022,29.66,0.03,0.13,2.14,35.16,94.64,399.12,130.6,162.1,105.77,2.15,4.49,965.99
PRECTOTCORR_SUM,2023,0.01,0.0,42.5,92.48,43.58,52.0,383.04,42.85,219.22,2.97,25.2,12.32,916.17
